stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\Debug\allegro5.cfg r
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.36670] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.36680] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.36690] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.36700] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.36709] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.36717] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.36727] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.36737] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.36745] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.36755] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.36785] added dtor for bitmap 000001CA121672E0, func 00007FF90173118B
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.36813] opening CELL_VALUE_2.jpg rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.37641] opening CELL_VALUE_2.jpg rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37671] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37682] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37692] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37700] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37709] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37719] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37729] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37739] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37747] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.37755] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.37765] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.37775] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.37785] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.37815] added dtor for bitmap 000001CA1216BDC0, func 00007FF90173118B
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.37854] opening CELL_VALUE_3.jpg rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.38732] opening CELL_VALUE_3.jpg rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.38762] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.38772] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.38784] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.38794] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.38803] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.38813] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.38823] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.38832] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.38842] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.38850] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.38861] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.38871] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.38880] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.38918] added dtor for bitmap 000001CA12156510, func 00007FF90173118B
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.38949] opening CELL_VALUE_4.jpg rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.39815] opening CELL_VALUE_4.jpg rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.39848] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.39858] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.39867] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.39878] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.39889] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.39899] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.39908] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.39917] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.39926] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.39935] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.39943] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.39952] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.39961] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.39994] added dtor for bitmap 000001CA1216B0E0, func 00007FF90173118B
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.40043] opening CELL_VALUE_5.jpg rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.40729] opening CELL_VALUE_5.jpg rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40755] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40764] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40772] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40782] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40790] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40799] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40807] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40815] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40825] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.40834] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.40843] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.40854] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.40864] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.40897] added dtor for bitmap 000001CA121632D0, func 00007FF90173118B
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.40928] opening CELL_VALUE_6.jpg rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.41836] opening CELL_VALUE_6.jpg rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.41863] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.41882] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.41893] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.41904] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.41914] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.41924] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.41932] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.41942] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.41950] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.41959] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.41968] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.41977] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.41986] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.42014] added dtor for bitmap 000001CA121634C0, func 00007FF90173118B
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.42043] opening CELL_VALUE_7.jpg rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.43005] opening CELL_VALUE_7.jpg rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43039] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43051] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43060] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43071] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43086] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43097] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43105] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43114] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43124] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.43134] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.43143] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.43158] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.43171] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.43209] added dtor for bitmap 000001CA12162FD0, func 00007FF90173118B
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.43246] opening CELL_VALUE_8.jpg rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.44014] opening CELL_VALUE_8.jpg rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.44043] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.44054] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.44064] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.44072] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.44081] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.44091] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.44101] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.44110] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.44120] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.44131] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.44140] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.44149] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.44159] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.44190] added dtor for bitmap 000001CA121823E0, func 00007FF90173118B
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.44221] opening win.wav rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.45207] opening win.wav rb
wav      I                wav.c:124  wav_open                         [   0.45251] Ignoring chunk: LIST
wav      E                wav.c:121  wav_open                         [   0.45339] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.45362] added dtor for sample 000001CA1213DE70, func 00007FF901FA1519
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.45386] opening explosion.wav rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.46074] opening explosion.wav rb
wav      E                wav.c:121  wav_open                         [   0.46099] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.46114] added dtor for sample 000001CA1213DE00, func 00007FF901FA1519
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.46132] opening click.wav rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.47007] opening click.wav rb
wav      E                wav.c:121  wav_open                         [   0.47033] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.47046] added dtor for sample 000001CA1213DD90, func 00007FF901FA1519
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.47062] opening flag.wav rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.47671] opening flag.wav rb
wav      E                wav.c:121  wav_open                         [   0.47693] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.47710] added dtor for sample 000001CA121B5D50, func 00007FF901FA1519
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.47841] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.47852] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.47860] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.47868] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.47878] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.47886] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.47895] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.47903] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.47911] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.47920] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.47928] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.47935] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.47943] Chose bitmap format 9
font     D                ttf.c:243  alloc_glyph_region               [   0.48024] Glyph 56: 35x35 (36x36)
font     D                ttf.c:287  alloc_glyph_region               [   0.48033] Locking glyph region: 000001CA12162CD0 0 0 36 36
font     D                ttf.c:167  unlock_current_page              [   0.48370] Unlocking page: 000001CA12162CD0
font     D                ttf.c:243  alloc_glyph_region               [   0.48389] Glyph 70: 26x26 (28x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.48399] Locking glyph region: 000001CA12162CD0 36 0 28 28
font     D                ttf.c:167  unlock_current_page              [   0.48425] Unlocking page: 000001CA12162CD0
font     D                ttf.c:243  alloc_glyph_region               [   0.48443] Glyph 77: 9x35 (12x36)
font     D                ttf.c:287  alloc_glyph_region               [   0.48454] Locking glyph region: 000001CA12162CD0 64 0 12 36
font     D                ttf.c:167  unlock_current_page              [   0.48468] Unlocking page: 000001CA12162CD0
font     D                ttf.c:243  alloc_glyph_region               [   0.48483] Glyph 68: 26x26 (28x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.48493] Locking glyph region: 000001CA12162CD0 76 0 28 28
font     D                ttf.c:167  unlock_current_page              [   0.48508] Unlocking page: 000001CA12162CD0
font     D                ttf.c:243  alloc_glyph_region               [   0.48522] Glyph 80: 26x26 (28x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.48532] Locking glyph region: 000001CA12162CD0 104 0 28 28
font     D                ttf.c:167  unlock_current_page              [   0.48547] Unlocking page: 000001CA12162CD0
font     D                ttf.c:243  alloc_glyph_region               [   0.48560] Glyph 78: 35x26 (36x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.48569] Locking glyph region: 000001CA12162CD0 132 0 36 28
font     D                ttf.c:167  unlock_current_page              [   0.48583] Unlocking page: 000001CA12162CD0
font     D                ttf.c:475  cache_glyph                      [   0.48594] Glyph 1 has zero size.
font     D                ttf.c:243  alloc_glyph_region               [   0.48608] Glyph 85: 17x35 (20x36)
font     D                ttf.c:287  alloc_glyph_region               [   0.48617] Locking glyph region: 000001CA12162CD0 168 0 20 36
font     D                ttf.c:167  unlock_current_page              [   0.48630] Unlocking page: 000001CA12162CD0
font     D                ttf.c:243  alloc_glyph_region               [   0.48642] Glyph 74: 9x35 (12x36)
font     D                ttf.c:287  alloc_glyph_region               [   0.48650] Locking glyph region: 000001CA12162CD0 188 0 12 36
font     D                ttf.c:167  unlock_current_page              [   0.48663] Unlocking page: 000001CA12162CD0
font     D                ttf.c:243  alloc_glyph_region               [   0.48676] Glyph 79: 26x26 (28x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.48685] Locking glyph region: 000001CA12162CD0 200 0 28 28
font     D                ttf.c:167  unlock_current_page              [   0.48701] Unlocking page: 000001CA12162CD0
font     D                ttf.c:243  alloc_glyph_region               [   0.48715] Glyph 84: 26x26 (28x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.48724] Locking glyph region: 000001CA12162CD0 228 0 28 28
font     D                ttf.c:167  unlock_current_page              [   0.48738] Unlocking page: 000001CA12162CD0
font     D                ttf.c:243  alloc_glyph_region               [   0.48750] Glyph 88: 35x26 (36x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.48759] Locking glyph region: 000001CA12162CD0 256 0 36 28
font     D                ttf.c:167  unlock_current_page              [   0.48774] Unlocking page: 000001CA12162CD0
font     D                ttf.c:243  alloc_glyph_region               [   0.48786] Glyph 81: 26x35 (28x36)
font     D                ttf.c:287  alloc_glyph_region               [   0.48795] Locking glyph region: 000001CA12162CD0 292 0 28 36
font     D                ttf.c:167  unlock_current_page              [   0.48808] Unlocking page: 000001CA12162CD0
font     D                ttf.c:243  alloc_glyph_region               [   0.48819] Glyph 83: 22x26 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.48832] Locking glyph region: 000001CA12162CD0 320 0 24 28
font     D                ttf.c:167  unlock_current_page              [   0.48848] Unlocking page: 000001CA12162CD0
font     D                ttf.c:243  alloc_glyph_region               [   0.48862] Glyph 2: 9x35 (12x36)
font     D                ttf.c:287  alloc_glyph_region               [   0.48873] Locking glyph region: 000001CA12162CD0 344 0 12 36
font     D                ttf.c:167  unlock_current_page              [   0.48888] Unlocking page: 000001CA12162CD0
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.49003] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.49014] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.49025] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.49034] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.49044] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.49053] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.49061] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.49070] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.49080] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.49090] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.49101] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.49111] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.49121] Chose bitmap format 9
font     D                ttf.c:243  alloc_glyph_region               [   0.49181] Glyph 49: 22x29 (24x32)
font     D                ttf.c:287  alloc_glyph_region               [   0.49192] Locking glyph region: 000001CA121638B0 0 0 24 32
font     D                ttf.c:167  unlock_current_page              [   0.53249] Unlocking page: 000001CA121638B0
font     D                ttf.c:243  alloc_glyph_region               [   0.53277] Glyph 77: 8x29 (8x32)
font     D                ttf.c:287  alloc_glyph_region               [   0.53288] Locking glyph region: 000001CA121638B0 24 0 8 32
font     D                ttf.c:167  unlock_current_page              [   0.53306] Unlocking page: 000001CA121638B0
font     D                ttf.c:243  alloc_glyph_region               [   0.53322] Glyph 66: 22x22 (24x24)
font     D                ttf.c:287  alloc_glyph_region               [   0.53331] Locking glyph region: 000001CA121638B0 32 0 24 24
font     D                ttf.c:167  unlock_current_page              [   0.53347] Unlocking page: 000001CA121638B0
font     D                ttf.c:243  alloc_glyph_region               [   0.53376] Glyph 90: 22x29 (24x32)
font     D                ttf.c:287  alloc_glyph_region               [   0.53387] Locking glyph region: 000001CA121638B0 56 0 24 32
font     D                ttf.c:167  unlock_current_page              [   0.53402] Unlocking page: 000001CA121638B0
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.53580] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.53597] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.53734] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.53748] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.53757] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.53774] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.53788] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.53809] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.53826] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.53839] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.53850] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.53860] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.53869] Chose bitmap format 9
font     D                ttf.c:243  alloc_glyph_region               [   0.53928] Glyph 36: 18x22 (20x24)
font     D                ttf.c:287  alloc_glyph_region               [   0.53941] Locking glyph region: 000001CA0D1EF390 0 0 20 24
font     D                ttf.c:167  unlock_current_page              [   0.54018] Unlocking page: 000001CA0D1EF390
font     D                ttf.c:243  alloc_glyph_region               [   0.54057] Glyph 83: 15x17 (16x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.54068] Locking glyph region: 000001CA0D1EF390 20 0 16 20
font     D                ttf.c:167  unlock_current_page              [   0.54116] Unlocking page: 000001CA0D1EF390
font     D                ttf.c:243  alloc_glyph_region               [   0.54139] Glyph 70: 18x17 (20x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.54221] Locking glyph region: 000001CA0D1EF390 36 0 20 20
font     D                ttf.c:167  unlock_current_page              [   0.54267] Unlocking page: 000001CA0D1EF390
font     D                ttf.c:243  alloc_glyph_region               [   0.54285] Glyph 66: 18x17 (20x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.54312] Locking glyph region: 000001CA0D1EF390 56 0 20 20
font     D                ttf.c:167  unlock_current_page              [   0.54356] Unlocking page: 000001CA0D1EF390
font     D                ttf.c:243  alloc_glyph_region               [   0.54371] Glyph 85: 12x22 (12x24)
font     D                ttf.c:287  alloc_glyph_region               [   0.54381] Locking glyph region: 000001CA0D1EF390 76 0 12 24
font     D                ttf.c:167  unlock_current_page              [   0.54404] Unlocking page: 000001CA0D1EF390
font     D                ttf.c:243  alloc_glyph_region               [   0.54420] Glyph 80: 18x17 (20x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.54431] Locking glyph region: 000001CA0D1EF390 88 0 20 20
font     D                ttf.c:167  unlock_current_page              [   0.54463] Unlocking page: 000001CA0D1EF390
font     D                ttf.c:243  alloc_glyph_region               [   0.54483] Glyph 84: 18x17 (20x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.54591] Locking glyph region: 000001CA0D1EF390 108 0 20 20
font     D                ttf.c:167  unlock_current_page              [   0.54611] Unlocking page: 000001CA0D1EF390
font     D                ttf.c:243  alloc_glyph_region               [   0.54631] Glyph 38: 18x22 (20x24)
font     D                ttf.c:287  alloc_glyph_region               [   0.54645] Locking glyph region: 000001CA0D1EF390 128 0 20 24
font     D                ttf.c:167  unlock_current_page              [   0.54665] Unlocking page: 000001CA0D1EF390
font     D                ttf.c:243  alloc_glyph_region               [   0.54686] Glyph 89: 18x17 (20x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.54699] Locking glyph region: 000001CA0D1EF390 148 0 20 20
font     D                ttf.c:167  unlock_current_page              [   0.54716] Unlocking page: 000001CA0D1EF390
font     D                ttf.c:243  alloc_glyph_region               [   0.54731] Glyph 74: 7x22 (8x24)
font     D                ttf.c:287  alloc_glyph_region               [   0.54741] Locking glyph region: 000001CA0D1EF390 168 0 8 24
font     D                ttf.c:167  unlock_current_page              [   0.54755] Unlocking page: 000001CA0D1EF390
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.55138] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.55170] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.55237] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.55253] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.55292] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.55305] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.55354] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.55396] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.55434] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.55454] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.55479] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.55505] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.55663] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.55677] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.55717] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.55751] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.55796] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.55828] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.55871] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.55887] _al_d3d_sync_bitmap (video) ref count == 1
